TimeCreated,EventID,hour_of_day,event_frequency,inter_event_gap_seconds,message_length,anomaly_score,prediction
2023-09-27 05:16:15.154898500+05:30,4688,5,17,0.0135704,1604,0.2110514389505343,normal
2023-09-27 05:16:15.176019300+05:30,4688,5,17,0.0211208,1602,0.21442925023627318,normal
2023-09-27 05:16:18.259281+05:30,4689,5,17,3.0832617,232,0.18156920948147803,normal
2023-09-27 05:16:18.262720400+05:30,4688,5,17,0.0034394,1602,0.21448307900683228,normal
2023-09-27 05:16:21.331029+05:30,4689,5,17,3.0683086,232,0.1819344002686326,normal
2023-09-27 05:16:21.334312800+05:30,4688,5,17,0.0032838,1601,0.21421552566904717,normal
2023-09-27 05:16:21.345798500+05:30,4688,5,17,0.0114857,1602,0.21442925023627318,normal
2023-09-27 05:16:21.359020300+05:30,4689,5,17,0.0132218,232,0.21331586964165578,normal
2023-09-27 05:16:21.363371900+05:30,4689,5,17,0.0043516,231,0.212761800838292,normal
2023-09-27 05:16:21.366127400+05:30,4688,5,17,0.0027555,1602,0.21439995430607584,normal
2023-09-27 05:16:24.031389+05:30,4689,5,17,2.6652616,286,0.14192020586559506,normal
2023-09-27 05:16:24.428914200+05:30,4689,5,17,0.3975252,232,0.2037476185686034,normal
2023-09-27 05:16:24.432092100+05:30,4688,5,17,0.0031779,1601,0.21421552566904717,normal
2023-09-27 05:16:24.444064400+05:30,4688,5,17,0.0119723,1602,0.21442925023627318,normal
2023-09-27 05:16:24.455572500+05:30,4689,5,17,0.0115081,232,0.2136686635095223,normal
2023-09-27 05:16:24.457143600+05:30,4689,5,17,0.0015711,231,0.2128452949481301,normal
2023-09-27 05:16:24.459888800+05:30,4688,5,17,0.0027452,1601,0.21404913680923582,normal
2023-09-27 05:16:24.473514700+05:30,4688,5,17,0.0136259,1602,0.21442925023627318,normal
2023-09-27 05:16:24.485005200+05:30,4689,5,17,0.0114905,232,0.2136686635095223,normal
2023-09-27 05:16:24.486591700+05:30,4689,5,17,0.0015865,231,0.2128452949481301,normal
2023-09-27 05:16:24.489358700+05:30,4688,5,17,0.002767,1600,0.20981538132768918,normal
2023-09-27 05:16:24.500125900+05:30,4688,5,17,0.0107672,1601,0.21416165781928764,normal
2023-09-27 05:16:24.511319300+05:30,4689,5,17,0.0111934,232,0.21370999834753168,normal
2023-09-27 05:16:24.513197600+05:30,4689,5,17,0.0018783,230,0.20711856078781227,normal
2023-09-27 05:16:24.516032500+05:30,4688,5,17,0.0028349,1601,0.21404913680923582,normal
2023-09-27 05:16:24.526635300+05:30,4688,5,17,0.0106028,1602,0.21442925023627318,normal
2023-09-27 05:16:24.539916600+05:30,4689,5,17,0.0132813,232,0.21331586964165578,normal
2023-09-27 05:16:24.541617200+05:30,4689,5,17,0.0017006,231,0.2128452949481301,normal
2023-09-27 05:16:24.544145900+05:30,4689,5,17,0.0025287,231,0.212761800838292,normal
2023-09-27 05:16:24.545281600+05:30,4689,5,17,0.0011357,235,0.20652493787440523,normal
2023-09-27 05:16:28.187130600+05:30,4688,5,17,3.641849,1616,0.15232373992549147,normal
2023-09-27 05:16:29.117229500+05:30,4702,5,12,0.9300989,1909,0.014575721897706173,normal
2023-09-27 05:16:29.135175200+05:30,4702,5,12,0.0179457,1908,0.03222234520112344,normal
2023-09-27 05:16:29.157402100+05:30,4702,5,12,0.0222269,2068,0.006076205804870338,normal
2023-09-27 05:16:29.179182900+05:30,4702,5,12,0.0217808,2067,0.006363353757576573,normal
2023-09-27 05:16:29.199046800+05:30,4702,5,12,0.0198639,1944,0.02265760160527419,normal
2023-09-27 05:16:29.213480300+05:30,4702,5,12,0.0144335,1943,0.022431010546913654,normal
