TimeCreated,EventID,hour_of_day,event_frequency,inter_event_gap_seconds,message_length,anomaly_score,prediction
2026-04-21 05:42:01.843043400+05:30,5,5,246,0.276922,231,0.050064491048202875,normal
2026-04-21 05:42:01.845477400+05:30,5,5,246,0.002434,206,0.12072047688142062,normal
2026-04-21 05:42:02.277195300+05:30,5,5,246,0.4317179,260,-0.013745690116084619,anomaly
2026-04-21 05:42:02.588042200+05:30,5,5,246,0.3108469,215,0.06970722093065174,normal
2026-04-21 05:42:02.598214100+05:30,5,5,246,0.0101719,207,0.11174917603917328,normal
2026-04-21 05:42:02.606841500+05:30,5,5,246,0.0086274,206,0.11651772397498755,normal
2026-04-21 05:42:02.699331800+05:30,5,5,246,0.0924903,215,0.07968828340054274,normal
2026-04-21 05:42:02.707933900+05:30,5,5,246,0.0086021,207,0.11317898085610367,normal
2026-04-21 05:42:02.713741500+05:30,5,5,246,0.0058076,206,0.12140983498395747,normal
2026-04-21 05:42:02.826736300+05:30,5,5,246,0.1129948,231,0.0557076835626823,normal
2026-04-21 05:42:02.832772600+05:30,5,5,246,0.0060363,206,0.12084563109382784,normal
2026-04-21 05:42:03.164923900+05:30,5,5,246,0.3321513,231,0.04830948143131808,normal
2026-04-21 05:42:03.167186900+05:30,5,5,246,0.002263,231,0.06366499108014012,normal
2026-04-21 05:42:03.169358300+05:30,5,5,246,0.0021714,206,0.12042941019518666,normal
2026-04-21 05:42:03.171438600+05:30,5,5,246,0.0020803,206,0.12042941019518666,normal
2026-04-21 05:42:03.464000200+05:30,5,5,246,0.2925616,231,0.04947430086480975,normal
2026-04-21 05:42:03.469054800+05:30,5,5,246,0.0050546,206,0.12231947772072466,normal
2026-04-21 05:42:03.612262100+05:30,5,5,246,0.1432073,204,0.08355088630742041,normal
2026-04-21 05:42:03.763837+05:30,5,5,246,0.1515749,231,0.056317138248860976,normal
2026-04-21 05:42:03.767866100+05:30,5,5,246,0.0040291,206,0.12308177242113588,normal
2026-04-21 05:42:03.777938800+05:30,5,5,246,0.0100727,231,0.061853883946506816,normal
2026-04-21 05:42:03.781093600+05:30,5,5,246,0.0031548,206,0.12247100414777728,normal
2026-04-21 05:42:04.002052500+05:30,5,5,246,0.2209589,206,0.08388273083400938,normal
2026-04-21 05:42:04.010125900+05:30,5,5,246,0.0080734,206,0.11747509756339647,normal
2026-04-21 05:42:04.161609600+05:30,5,5,246,0.1514837,250,0.01668422412898507,normal
2026-04-21 05:42:04.170268300+05:30,5,5,246,0.0086587,206,0.11651772397498755,normal
2026-04-21 05:42:04.873408100+05:30,5,5,246,0.7031398,215,0.04589382709205314,normal
2026-04-21 05:42:04.882130900+05:30,5,5,246,0.0087228,207,0.11317898085610367,normal
2026-04-21 05:42:04.886383200+05:30,5,5,246,0.0042523,206,0.12347859380694887,normal
2026-04-21 05:42:05.068631400+05:30,5,5,246,0.1822482,215,0.07628162724129173,normal
2026-04-21 05:42:05.074555900+05:30,5,5,246,0.0059245,207,0.11685909332273264,normal
2026-04-21 05:42:05.079653600+05:30,5,5,246,0.0050977,206,0.12231947772072466,normal
2026-04-21 05:42:05.145569500+05:30,5,5,246,0.0659159,215,0.08060515638261134,normal
2026-04-21 05:42:05.154542600+05:30,5,5,246,0.0089731,207,0.11282501028323039,normal
2026-04-21 05:42:05.159312800+05:30,5,5,246,0.0047702,206,0.12292912066178968,normal
2026-04-21 05:42:05.165791100+05:30,5,5,246,0.0064783,215,0.09101469665955136,normal
2026-04-21 05:42:05.165993900+05:30,5,5,246,0.0002028,215,0.089992940226989,normal
2026-04-21 05:42:05.171481700+05:30,5,5,246,0.0054878,207,0.11760261609447803,normal
2026-04-21 05:42:05.171937500+05:30,5,5,246,0.0004558,207,0.11443454459208108,normal
2026-04-21 05:42:05.177847800+05:30,5,5,246,0.0059103,206,0.12118488750272033,normal
2026-04-21 05:42:05.179913600+05:30,5,5,246,0.0020658,206,0.12042941019518666,normal
2026-04-21 05:42:05.180073900+05:30,5,5,246,0.0001603,215,0.089992940226989,normal
